"gene_id","MLB2_log2FC","VA1_log2FC","HAstV4_log2FC","gene_name"
"ENSG00000120937",2.46917851645067,2.12511762483543,2.44127604603773,"NPPB"
"ENSG00000137965",3.05845705086244,8.23969063182477,8.73259125089551,"IFI44"
"ENSG00000163121",-2.3058779990026,2.48473592429229,3.16715571153402,"NEURL3"
"ENSG00000232810",-4.95762970944143,3.10603142722896,4.65118739239352,"TNF"
"ENSG00000125148",-1.10284997560273,1.22056180337655,1.14345629531235,"MT2A"
