"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","18/106","271/9392",0.0664206642066421,5.88512149272436,8.71832992548682,1.08144364157669e-09,2.35754713863718e-07,2.15150366587362e-07,"518/4709/7277/805/64116/27089/4128/292/7295/10383/4718/9377/1327/10476/7314/10975/6647/4512",18
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","12/106","138/9392",0.0869565217391304,7.70467596390484,8.47709601462411,4.24156126663124e-08,4.62330178062805e-06,4.21923725996476e-06,"518/4709/27089/8992/9551/4718/5464/9377/1327/10476/10975/4512",12
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","14/106","227/9392",0.0616740088105727,5.46454991272546,7.2747636794003,2.2937021479711e-07,1.5134520462496e-05,1.38118028363677e-05,"4259/10327/518/4709/27089/292/4718/4257/9377/1327/10476/10975/6647/4512",14
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","8/106","59/9392",0.135593220338983,12.0140709945635,9.0668776991574,2.77697623165065e-07,1.5134520462496e-05,1.38118028363677e-05,"51060/4259/9588/5226/2876/2950/4257/2877",8
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","15/106","311/9392",0.0482315112540193,4.27349390280895,6.2721928962656,1.91576378188777e-06,8.35273008903066e-05,7.62272325845869e-05,"518/4709/7277/2876/27089/292/10383/4718/2877/9377/1327/10476/10975/6647/4512",15
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","14/106","278/9392",0.0503597122302158,4.46206054024705,6.26032755470611,2.62823487170511e-06,9.54925336719522e-05,8.71467352196956e-05,"518/4709/7277/27089/3303/292/10383/4718/9377/1327/10476/10975/6647/4512",14
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","12/106","205/9392",0.0585365853658537,5.1865623561896,6.47503543877542,3.08489018918292e-06,9.60722944631251e-05,8.76758264294092e-05,"25874/518/4709/27089/292/4718/2597/9377/1327/10476/10975/4512",12
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","15/106","371/9392",0.0404312668463612,3.58236281340589,5.42214822618927,1.63443660342619e-05,0.000445383974433637,0.000406458576378355,"518/4709/7277/2876/27089/10383/4718/283/2877/9377/1327/10476/10975/6647/4512",15
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","17/106","483/9392",0.0351966873706004,3.11855931872339,5.1073336205789,2.57837942920272e-05,0.000624540795073547,0.000569957558034285,"518/4709/7277/805/2876/27089/292/10383/4718/2877/9377/1327/10476/7314/10975/6647/4512",17
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","15/106","391/9392",0.0383631713554987,3.39912174878155,5.17713868326799,3.02587993075423e-05,0.000659641824904422,0.000601990849381631,"518/4709/7277/805/64116/27089/292/10383/4718/2597/9377/1327/10476/10975/4512",15
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","10/106","235/9392",0.0425531914893617,3.77037334403854,4.59504889674597,0.00030895713182632,0.00612296861255798,0.00558783712106933,"518/4709/27089/9551/4718/9377/1327/10476/10975/4512",10
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","5/106","61/9392",0.0819672131147541,7.26260439220538,5.2426433504169,0.000599958335854971,0.0108992431013653,0.00994667767338504,"79901/475/4501/2512/6523",5
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","3/106","20/9392",0.15,13.2905660377358,5.87848285300432,0.0013852676542267,0.0232298729708786,0.0211996426436313,"10682/50814/1717",3
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","7/106","157/9392",0.0445859872611465,3.95048672034611,3.98308481098806,0.00194960642407743,0.03035815717492,0.0277049333947846,"4709/27089/4718/9377/1327/10975/4512",7
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","5/106","87/9392",0.0574712643678161,5.09217089568423,4.09684669711789,0.00295728152974046,0.0429791582322281,0.0392228918681367,"27089/9377/1327/10975/4512",5
