"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","71/191","238/9392",0.298319327731092,14.6691891416252,30.7737815045027,1.99583616215248e-66,3.67233853836057e-64,3.42443467821953e-64,"6135/6202/6232/6125/6146/6201/6160/6233/6168/6161/6165/9045/3921/6152/6138/6133/6164/6189/6208/6228/51121/6167/4736/6222/6204/6173/6134/6170/6191/6156/6129/6224/6132/11224/6130/6188/6230/6157/6207/2197/6229/6128/6175/6144/6235/51187/6124/6218/6210/6137/6187/6155/6154/6143/6169/9349/6139/6227/6217/6209/6141/6205/23521/6203/7311/25873/388524/6142/6223/6193/6122",71
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","13/191","158/9392",0.0822784810126582,4.04586122340778,5.56286869296027,1.89896144345061e-05,0.00174704452797456,0.00162910902780237,"991/4175/25847/4085/890/9232/7272/983/894/9133/701/9212/51529",13
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","10/191","111/9392",0.0900900900900901,4.42997971793783,5.23733969916723,8.30634617507061e-05,0.00509455898737664,0.00475064711065442,"25847/4085/890/3326/2770/983/3320/9133/3835/51529",10
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","16/191","271/9392",0.0590405904059041,2.90318966016885,4.58037014941389,0.00012562147486101,0.00577858784360644,0.00538850010588015,"4725/11315/9167/6233/203068/347733/4697/2770/54539/7381/10376/7846/5693/4706/514/7311",16
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","14/191","235/9392",0.0595744680851064,2.92944190709591,4.31562916772702,0.000305224614618847,0.0112322658179736,0.0104740236174467,"6635/3310/51639/27258/6631/10084/3178/3183/642659/51690/6633/6626/84844/4809",14
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","5/191","34/9392",0.147058823529412,7.23129042192793,5.24422141371851,0.000568676435320859,0.017439410683173,0.0162621506942632,"64425/5436/51082/5438/5435",5
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","17/191","371/9392",0.045822102425876,2.2531999266169,3.54842036214328,0.00145251545255744,0.0381804061815099,0.0356030103408817,"4725/9167/203068/347733/4697/54539/4741/7381/10376/3178/7846/5693/4706/642659/596/514/29107",17
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","15/191","311/9392",0.0482315112540193,2.37167724449083,3.54421761049726,0.00167483509144671,0.0385212071032743,0.0359208052507649,"4725/9167/203068/347733/4697/54539/7381/5436/10376/7846/5693/4706/514/5438/5435",15
