"","HAstV4_1_diff_S22","HAstV4_1_undiff_S10","HAstV4_2_diff_S23","HAstV4_2_undiff_S11","HAstV4_3_diff_S24","HAstV4_3_undiff_S12","MLB2_1_diff_S16","MLB2_1_undiff_S4","MLB2_2_diff_S17","MLB2_2_undiff_S5","MLB2_3_diff_S18","MLB2_3_undiff_S6","Mock_1_diff_S13","Mock_1_undiff_S1","Mock_2_diff_S14","Mock_2_undiff_S2","Mock_3_diff_S15","Mock_3_undiff_S3","VA1_1_diff_S19","VA1_1_undiff_S7","VA1_2_diff_S20","VA1_2_undiff_S8","VA1_3_diff_S21","VA1_3_undiff_S9"
"HAstV4",302336.758036244,106.063714119497,277239.768814353,212643.128229079,384985.77750417,210673.743056402,181.937516969789,135.191259326167,164.007255509526,663.384365546504,251.209273542304,117.322393625154,163.046823628037,162.316203802432,130.213999624201,137.865889697896,162.042898133132,159.488980575351,119.107761982076,115.738153322774,120.787815697092,121.846440215202,346.119966794476,259258.246150137
"MLB2",4.4772592359306,2.33184714586502,5.05139797438941,4.83193423753345,1.66288680825769,2.15963064145658,5845.73152350757,7093.57614129369,4163.45736683953,9855.39726079241,3395.35270361967,6915.918354978,3.05331130389583,2.78000128059414,2.36139377556841,8.60962977026601,2.46052122978726,5.27386594832975,2.25643933389589,2.9712728848145,2.58461802490211,2.08838461361752,3.63590024047489,9.82776513999979
"VA1",21136.3764427149,492607.090610139,8117.70178230159,381.960440875185,3091.91921905934,441.02742885174,372.10604968968,280.98762804117,496.410261853351,485.980118682366,504.244351979956,344.706871314801,341.238071323398,334.407250817276,508.037003715147,426.903460556826,395.792414962922,331.980768575033,604855.809094273,426324.954249472,461361.985145166,483205.246943919,505799.482584792,11101.6072982294
