"baseMean","log2FoldChange","padj","gene_name"
7.95375008866234,-6.87458492912263,0.042171850539616,"CYSRT1"
10.2697315230639,-6.68051623624899,0.0382399173869763,"CDHR3"
10.8217927920401,-6.44068028112307,0.0394054741890455,"PAQR6"
12.0349905936947,-5.93525193406359,0.043262774801202,"CDKL1"
24.7064475775542,-5.57961635058919,0.028888246723873,"CDK5R1"
24.1908026707744,-5.24177920622852,0.00843055386483002,"DLGAP5"
637.53618128135,-2.86412747884669,0.0307970958233801,"IFI44L"
435.11695856316,-1.17909573644248,0.0295161851113782,"CLDN2"
200.221967256072,-1.1492689683429,0.041833488334514,"CXCL5"
337.476641006259,1.04090864840674,0.0295161851113782,"SAMHD1"
