"baseMean","log2FoldChange","padj","gene_name"
22.0190295310649,-8.2760137339648,0.011766176793518,"OSTF1"
36.8968279781503,-3.82173136149455,0.192301595185852,"ALDH3B1"
56.6317502187481,-3.77316838860033,0.0895898158109282,"KIAA1217"
71.7438215247646,-2.90979375535493,0.011766176793518,"PROX1"
11607.8496002506,0.584643606379687,0.0178509425289545,"SCD"
5210.20439439208,0.682257881924755,0.192301595185852,"FDFT1"
9309.36126255843,0.739113207414788,0.0468614573729261,"HMGCS1"
2232.73344085613,0.770276197648733,0.0178509425289545,"INSIG1"
3787.3559929404,0.81032099443034,0.192301595185852,"MSMO1"
251.878967826773,1.96795882918467,0.00124035186566881,"H1-4"
20.8694134218194,7.40667666489466,0.163399875594555,"CUBN"
