"baseMean","log2FoldChange","padj","gene_name"
637.53618128135,-8.75542503389199,2.02635003238647e-35,"IFI44L"
51.8023133450084,-7.73846523293759,4.99873150239953e-09,"HSPA6"
246.037289816652,-7.44010512228187,2.10380085498304e-08,"BST2"
55.8866213085458,-7.15208691781432,4.9088142785949e-06,"CD274"
9.20184915137653,-7.08085667340876,0.00756289494482955,"TMEM170B"
9.72346809310851,-6.82225501990058,0.00836075393365943,"KRTAP3-1"
29.2735446134505,-6.70393516675717,0.0279862047686294,"RASGRP3"
7.92278071942317,-6.67976834466538,0.0463286227221597,"UTS2"
7.12352975362285,-6.66224335324499,0.0148479163061439,"TONSL"
14.4451774840064,-6.64096282068265,0.00485170262540505,"LDLRAD3"
11.028471109314,-6.62855307484481,0.00823312082956304,"SLC27A5"
6.99710049929017,-6.55502395081811,0.0192760614730426,"TNS1"
10.2697315230639,-6.48426674556102,0.00720010862532693,"CDHR3"
25.5822057702574,-6.46301846460721,0.000703655305155227,"SIDT1"
952.626883753205,-6.41239489607183,7.32406161945004e-35,"HERC5"
185.530418946692,-6.39153802595174,9.76779628962263e-24,"IFI44"
7.94518886006531,-6.34328841308623,0.0279680250890286,"UBE2S"
6.521758556499,-6.24158464638584,0.0493042069136796,"CCDC194"
7.95375008866234,-6.16697269358761,0.0199200203038847,"CYSRT1"
48.2713235779949,-6.09167551060928,0.00016562968527349,"CXCL10"
88.3598303513579,-6.09023513257547,4.02258809523154e-06,"IFNL2"
1138.37135884051,-6.04562911065494,6.25760628264082e-23,"RSAD2"
6.62039388882591,-6.01850509555963,0.0389412355951256,"TMEM240"
122.074132793279,-5.95731332003625,1.34312523207691e-10,"LAMP3"
668.854267075487,-5.91581075494788,4.29701328833048e-05,"OAS2"
218.570265293468,-5.89657780275917,1.81305151044502e-29,"NLRC5"
61.1630072920977,-5.89319166197542,0.000122103485195976,"IFNL3"
10.8217927920401,-5.87236784088892,0.0158144671867506,"PAQR6"
134.520794725255,-5.83737677257248,2.84000704153013e-07,"GBP4"
148.616778514814,-5.81838664376503,0.00367930026578128,"IFI16"
1156.98302464413,-5.75697421701567,9.26864779577807e-17,"IFIT1"
8.17119860145433,-5.73266927985018,0.0175817999767001,"GSDMA"
12.3468509823963,-5.585244289243,0.0249842928511633,"FUT1"
78.0267887367994,-5.53324216704161,0.00437400648106122,"IFNL1"
1897.41586164139,-5.47092037850266,4.01154374744498e-18,"MX2"
26.6604417826078,-5.36412772144542,0.00503963006486415,"NEURL3"
187.080857892028,-5.07227262160111,1.90675283535255e-08,"CXCL11"
5177.69691921697,-4.9914320187791,0,"MX1"
282.29717206143,-4.85106021255977,0.0068404926156271,"OASL"
24.7064475775542,-4.80919419125811,0.0135501126508777,"CDK5R1"
323.828275377446,-4.44905080762997,1.04364862558124e-05,"CMPK2"
2214.26401606099,-4.32123643716475,5.55910330848574e-50,"IFIT2"
2218.75568957346,-4.28050288811699,9.35456246998459e-184,"XAF1"
18.1712843167249,-4.20476297852907,0.0344727419390445,"DEPDC1"
303.376438487104,-4.09604092657365,1.61536169151447e-05,"USP18"
1801.3647516285,-4.0827640415139,3.57103081162207e-47,"ISG15"
24.1908026707744,-4.03132712886623,0.0135895493593429,"DLGAP5"
36.1177460480006,-3.95046970974173,0.00396906648101483,"CCL5"
1938.93742556538,-3.8924524424918,3.99499889461816e-25,"IFIT3"
1134.81660164552,-3.85690530381402,2.64332947137741e-86,"OAS3"
584.29487520066,-3.51549544204033,7.38996489555537e-45,"SAMD9L"
25.9967326280922,-3.43013759537943,0.00136482535485849,"CGAS"
335.549446847119,-3.38160908299223,5.40813666329435e-07,"RIGI"
957.936088908428,-3.33181633506166,1.11857425058282e-22,"EPSTI1"
26.309667739468,-3.31757444217432,0.0415246540415219,"ZNF549"
22.3662489485756,-3.25642261150114,0.0251843749050327,"SNX10"
1614.48005077728,-3.24093411385539,3.18499696153737e-33,"DDX60L"
91.3391948540902,-3.1904774742003,1.14454609217293e-06,"ETV7"
1122.1445678097,-3.11646984301355,1.44456346728355e-83,"DDX60"
624.5884890931,-3.09478745056441,1.07979874442261e-12,"IFIH1"
36.373683003864,-3.05368260936638,0.0092263012829446,"LMO2"
1626.6380830944,-3.00410876409913,5.79806454414692e-67,"SAMD9"
520.294428449861,-2.91390023741487,2.32851681971267e-22,"PNPT1"
34.2982984210587,-2.82213901002508,0.045661436726363,"NDC80"
261.242271192664,-2.78350979516502,3.06124579373837e-14,"BATF2"
29.1067676965274,-2.77616935074935,0.0070355436814436,"PIGW"
85.8330765139181,-2.76383986480845,0.000224658370403313,"SLC15A3"
107.002558175931,-2.59662362690438,9.00190210425416e-05,"MLKL"
807.69195294222,-2.56834616446638,1.50946355137467e-25,"GBP1"
221.203205700517,-2.55167438780437,0.031026695128134,"PPM1K"
70.4436864014777,-2.5491958147538,0.00756289494482955,"BTC"
71.3449601708059,-2.52998805522287,0.00328375988201821,"SOCS1"
41.8934118649449,-2.5019538603341,0.0119738518659712,"TMEM106A"
76.8901292611711,-2.44375735525568,0.0121758763374743,"IFI6"
1128.56312202181,-2.37335551060611,3.24659133090647e-33,"SP110"
171.917013079663,-2.35277125023614,2.38482587805068e-09,"PMAIP1"
1007.7731245314,-2.31053049416761,1.56360380420449e-27,"PARP9"
1296.31929381629,-2.29848845382641,5.14923066240475e-50,"HELZ2"
119.774652492269,-2.29331637375246,0.00302538064306559,"TYMP"
2548.16920584033,-2.23505815548109,1.78457780371317e-73,"PARP14"
124.993886733943,-2.23173953662476,0.00271370453728827,"TMEM140"
