"baseMean","log2FoldChange","padj","gene_name"
697.769259506107,-12.1527835020466,5.2333530791053e-18,"IFNL1"
932.907866653561,-11.7917860702099,9.17191339192896e-29,"IFNL2"
802.404570516478,-11.2551447680691,1.11906815764649e-20,"IFI44L"
668.798239374096,-11.2156442996409,1.08727605882406e-20,"IFNL3"
93.9774125006571,-10.3052656232671,1.2283193171777e-06,"RIPOR2"
295.925113186346,-10.2759914419121,1.15488711579984e-08,"LAMP3"
173.232351497122,-10.1310623532008,2.52472652484107e-10,"CCL5"
37.0352631231069,-9.10074022189406,3.29483904830949e-09,"APOBEC3A"
35.3099432278843,-9.05344433939845,3.12800141710025e-08,"GBP5"
3721.95965413655,-9.00420788778736,2.24883830129788e-80,"RSAD2"
71.7037862557849,-8.82063226182314,4.43880342101642e-10,"CD38"
72.5760003753402,-8.77832443285759,2.41626403117413e-09,"IFNB1"
37.7926484281621,-8.76766094488898,6.9990185162206e-08,"NCF2"
398.861886320278,-8.73259125089551,3.43275327834209e-35,"IFI44"
847.211775065493,-8.61558029676483,1.64575290266322e-12,"CXCL10"
3289.29715636805,-8.40210546438769,2.55756428178568e-57,"CX3CL1"
19.8274482419716,-8.3166875699882,3.03929872238865e-05,"MMP13"
21.8011130265247,-8.27764848405807,2.20896371341355e-05,"IL11"
20.1716587456411,-8.14774879918645,8.6065996990878e-06,"GNB4"
20.2185886194611,-8.12399606416602,2.41624229577243e-05,"CACNA1I"
2071.58640264104,-8.01911225262039,8.69654650532706e-16,"CXCL11"
872.766369238703,-8.01619197842931,7.87706494059313e-17,"OASL"
15.2103820890902,-8.01066291203788,4.36440599346254e-05,"CCL4L2"
13.9094068399294,-7.90044065393515,0.00333145534034608,"NPR1"
13.9314939203155,-7.89970490675331,0.000635347312421182,"POU3F2"
20.4019156180552,-7.84950394426713,2.27409313932716e-05,"IL1A"
12.562285524695,-7.79030595222418,0.00101529195858078,"ESPNL"
15.2329906512208,-7.72518430218859,6.3898187252598e-05,"WNT11"
13.5826118508377,-7.71413383670209,0.000604138389585779,"CXCL9"
11.7017981064466,-7.64697299170918,0.00401505607738595,"MISFA"
12.3039406821829,-7.57693573508538,0.00444503002189689,"JAKMIP2"
11.5903532614379,-7.45953191201396,0.000723717877795492,"MAN1C1"
12.3951683989836,-7.45142452320404,0.00126097166529205,"KANK4"
960.052564350709,-7.43929160927432,1.89870381637414e-14,"BST2"
12.3608890873052,-7.35142993200935,0.00056437385486169,"IGDCC3"
9.66519279395143,-7.34748742126138,0.0208204123467423,"HLA-DOB"
28.509474088347,-7.32305836786834,7.56874401069189e-05,"CCDC194"
11.1764558070565,-7.3010422251912,0.000689936685126949,"ICAM4"
9.59246308311944,-7.27244551574476,0.00421981502404337,"MAK"
9.12681607986601,-7.26549196102516,0.0226918356965856,"CLTRN"
8.96567178068071,-7.18839899320777,0.0136272614567685,"KCNH5"
13.9321569189329,-7.18211628211865,0.000747211223217999,"ZNF385D"
11.9878811006905,-7.1721235635035,0.000334063607620481,"ZFP57"
7.54323252435788,-7.1408055534484,0.0113455824080874,"HAPLN1"
11.1196839489702,-7.10930430690081,0.0142457518001515,"GPLD1"
10.865424245828,-7.10535489188907,0.00441550726743088,"GATA3"
11.2641647686555,-7.07012666808442,0.00729946454501084,"IRX2"
7.94159598750412,-7.04979578556,0.0174768045030553,"MSX1"
2401.22995650888,-7.04218496148994,3.82805771803734e-107,"HERC5"
6.15321247132367,-7.00418199079783,0.0236108353929471,"FN1"
10.3016811560925,-7.00001372643794,0.00784855397728701,"CHRNA6"
8.03592212262007,-6.970579580934,0.00702246811422008,"BTBD16"
7.24728244748171,-6.95231077358098,0.0349021446525041,"FOXP2"
10.8338600066327,-6.93973043648873,0.0139733056235681,NA
10.0316202650673,-6.90828048793098,0.00442905990662971,"RUFY4"
9.44004288810026,-6.89701055260609,0.0346175784641461,"SGCD"
10.0575964882564,-6.88614077919984,0.0193660455416786,"ABCC8"
10.0854198619348,-6.88535773242072,0.00259931724747929,"RHEBL1"
15.0863745280941,-6.88094884773511,0.0013328780963733,"SCIMP"
9.58638552622707,-6.86698273830181,0.00710480382548063,"CCL4"
7.71893427677463,-6.86113006144467,0.0213021604146668,"MTFR2"
9.09461203537826,-6.84169287574509,0.0291097776056219,"HAVCR2"
9.31171538668301,-6.83723054704885,0.0247114133831603,"ACSS3"
8.90968947351928,-6.82060961837,0.0232217873321664,"EBF4"
7.2434089668762,-6.80012979672683,0.0235649366742458,"CAVIN2"
9.90171981468069,-6.79929649269883,0.00717507570151713,"IL6"
6.56745354743291,-6.78145126238372,0.0427078457962308,"IFFO1"
7777.62769428048,-6.77181981764563,6.87054353361425e-61,"ISG15"
11.0970046096229,-6.74298599703689,0.00636050242804135,"SETBP1"
10.7001382296684,-6.73241963103027,0.0136610712218544,"TTYH1"
11.3951276726808,-6.70645392918154,0.00165748011208049,"IFNL4"
8.01273103793958,-6.70352220689525,0.031822909969166,"MYO16"
8.02375061900169,-6.70291146842918,0.0230246305651634,"CDH7"
8.37237018669224,-6.7023051765584,0.00756775913940919,"ITGA10"
6.42909837378207,-6.69197645569558,0.0348172005854603,"NOD2"
10.1617355103022,-6.68933897724146,0.0173130923837716,"AOAH"
5.83603362784046,-6.67414629408733,0.0313921173650847,"KCNQ4"
7.2369045830701,-6.64558795146565,0.0312718408770847,"GABRG2"
7.18019632184197,-6.603675803688,0.0358020316828245,"NEUROD2"
7.19251289399698,-6.58913732577285,0.0290048961610763,"KCNN3"
10.2565253719726,-6.53977781005338,0.00644082875090361,"PHACTR1"
